SMILES
C
CC
CCC
CC(C)C
C1CCCCC1
C1=CC=CC=C1
CO
CCO
CC(=O)O
CC(=O)C
CN
CCN
C1CCNCC1
C1CCOCC1
CC(C)O
CC1=CC=CC=C1
ClC1=CC=CC=C1
OC1=CC=CC=C1
N#CC1=CC=CC=C1
[O-][N+](=O)C1=CC=CC=C1
